estimate,reserve_group,owner_group,forest_group,ref_unit,agerange
447703.284587593,NR,PR,RW,Central Coast,AGEID9
1814312.28217167,NR,FS,MC,San Joaquin,AGEID12
1920480.18442673,NR,FS,HW,North Interior,AGEID999
486955.921956276,R,FS,HW,Southern,AGEID999
149954.37354606,NR,FS,HW,San Joaquin,AGEID3
467109.54416167,NR,PR,OS,North Coast,AGEID3
11934457.5054009,NR,FS,MC,North Interior,AGEID999
445218.979316339,NR,PR,DF,North Coast,AGEID18
196747.52296959,R,FS,OS,Sacramento,AGEID15
365041.803409637,NR,FS,HW,San Joaquin,AGEID12
31070.5145729274,NR,PR,OS,North Coast,AGEID12
61017.7952369826,NR,PR,RW,Central Coast,AGEID17
834517.97106547,NR,FS,OS,San Joaquin,AGEID12
187492.657284829,R,FS,HW,Sacramento,AGEID15
695096.896398151,R,FS,MC,North Interior,AGEID16
234871.095550134,R,FS,OS,Southern,AGEID999
266845.321805843,R,FS,HW,Sacramento,AGEID10
3596223.58089876,NR,PR,HW,North Coast,AGEID3
73264.1221311627,NR,FS,OS,San Joaquin,AGEID3
251300.782394329,NR,PR,PP,San Joaquin,AGEID11
796634.089199784,NR,PR,PP,North Interior,AGEID5
381403.393815185,R,FS,HW,North Interior,AGEID16
357643.974644315,R,FS,OS,North Interior,AGEID4
1013188.10730895,NR,FS,OS,North Interior,AGEID999
110465.641979985,NR,PR,PP,San Joaquin,AGEID1
2019929.17240707,NR,FS,HW,North Interior,AGEID8
202757.306789614,R,OF,HW,North Coast,AGEID7
224512.577901599,R,FS,OS,North Interior,AGEID13
169088.90022753,NR,PR,DF,Sacramento,AGEID14
59497.7783856139,R,FS,MC,Southern,AGEID9
9030.48266597966,NR,PR,DF,Central Coast,AGEID15
199487.996204166,NR,OF,HW,North Interior,AGEID6
688293.4939645,NR,PR,RW,Central Coast,AGEID999
1153824.8303803,NR,FS,MC,Sacramento,AGEID1
325197.632214962,NR,FS,MC,North Coast,AGEID6
522057.260785973,NR,FS,HW,North Interior,AGEID9
63454.9861493544,NR,FS,PP,North Interior,AGEID18
578510.062150677,R,FS,MC,North Interior,AGEID7
244151.543475777,NR,FS,MC,Central Coast,AGEID16
497682.373790923,NR,FS,MC,North Interior,AGEID17
626909.380679451,NR,FS,HW,Sacramento,AGEID11
1074395.33307986,NR,FS,HW,North Interior,AGEID14
224104.776414482,NR,OF,MC,North Interior,AGEID6
521259.94201984,NR,PR,NS,San Joaquin,AGEID0
5144224.56493791,NR,FS,MC,North Interior,AGEID8
107636.25043297,R,SLPub,PP,San Joaquin,AGEID16
1055210.65174177,NR,PR,DF,North Coast,AGEID2
583394.528086402,NR,FS,HW,San Joaquin,NOAGE
5090484.83787026,NR,FS,MC,North Interior,AGEID9
496273.701457432,R,FS,HW,North Interior,AGEID7
5980150.68442371,NR,FS,MC,Sacramento,AGEID11
2280634.08298533,NR,FS,MC,North Interior,AGEID14
166966.573354824,NR,FS,OS,Southern,AGEID13
845171.640823908,NR,FS,HW,Sacramento,AGEID1
590623.740454667,NR,FS,OS,North Interior,AGEID17
151721.796728482,R,FS,OS,North Interior,AGEID7
237458.626245022,NR,FS,DF,North Coast,AGEID5
381743.335660884,NR,PR,HW,San Joaquin,AGEID6
86478.4785532891,NR,FS,HW,Southern,AGEID13
212426.154875552,R,FS,HW,Central Coast,AGEID999
21086.2956989516,NR,FS,NS,North Coast,AGEID0
1103750.76822223,R,FS,MC,North Interior,AGEID13
4982548.51532196,NR,PR,HW,North Coast,NOAGE
206434.067876779,NR,FS,OS,San Joaquin,NOAGE
153680.089997069,R,OF,PP,North Interior,AGEID10
225652.059189433,NR,OF,NS,North Interior,AGEID0
726613.221988517,NR,PR,MC,San Joaquin,AGEID6
875312.285385897,NR,FS,OS,North Interior,AGEID14
1409748.87422701,NR,FS,OS,Sacramento,AGEID11
374745.129971802,NR,PR,PP,Sacramento,AGEID3
2416035.14977178,NR,FS,OS,North Interior,AGEID9
193910.736530355,R,FS,HW,North Interior,AGEID13
235837.003026469,NR,PR,MC,North Coast,NOAGE
1953775.62109515,NR,FS,OS,North Interior,AGEID8
1519338.06544391,NR,FS,MC,San Joaquin,AGEID15
173669.178355339,NR,PR,PP,Southern,AGEID9
97541.8381710517,R,SLPub,HW,North Coast,AGEID999
809411.334181368,R,OF,OS,San Joaquin,AGEID18
213660.074842554,R,OF,DF,Central Coast,AGEID13
1396624.28500368,NR,FS,MC,San Joaquin,AGEID10
2377411.91988365,NR,PR,PP,North Interior,AGEID7
435988.783263656,NR,FS,DF,North Coast,AGEID4
1188930.65000888,R,FS,DF,North Coast,AGEID999
67382.3406946566,NR,FS,HW,San Joaquin,AGEID15
375481.574993855,NR,FS,HW,San Joaquin,AGEID10
210635.996539254,NR,PR,OS,North Coast,AGEID10
1287643.06155324,NR,PR,HW,North Coast,AGEID10
1470079.28022685,NR,FS,OS,San Joaquin,AGEID10
681526.199799543,R,OF,MC,San Joaquin,AGEID18
202757.306789614,R,OF,DF,Central Coast,AGEID7
490885.589524396,NR,PR,PP,North Interior,AGEID13
201699.832505315,NR,FS,OS,San Joaquin,AGEID15
202444.313714125,NR,FS,DF,North Coast,AGEID16
34288.4648046873,R,FS,PP,San Joaquin,AGEID6
151227.606904533,NR,SLPub,HW,North Coast,AGEID16
348007.699853468,R,OF,HW,San Joaquin,AGEID18
126739.670111591,R,OF,PP,San Joaquin,AGEID14
719757.910581952,NR,PR,HW,San Joaquin,AGEID5
